PartcipantID:be18
instanceNumber;c;p;w;v;id;type;sol
26;76;107;33,18,35,39,22,22;48,5,45,14,33,21;25-0.45-0.65;3;0
27;59;115;28,44,10,6,17,27;21,37,35,49,18,26;18-0.45-0.62;3;0
28;61;108;27,18,49,40,8,9;7,37,48,9,44,33;176-0.41-0.61;4;1
29;75;79;5,47,32,45,11,28;36,2,28,16,17,27;172-0.45-0.63;4;1
30;84;75;28,39,23,27,35,41;2,21,9,48,37,7;197-0.44-0.61;4;1
31;64;78;38,18,22,44,10,18;14,34,24,16,22,13;195-0.43-0.64;4;1
32;67;71;22,45,10,19,29,35;19,21,13,14,45,4;210-0.42-0.62;4;1
33;61;122;33,28,24,27,13,11;49,44,2,21,35,40;80-0.45-0.64;4;1
34;57;75;42,3,22,4,47,15;4,41,21,19,23,8;156-0.43-0.65;4;1
35;74;99;25,44,17,39,30,23;27,19,46,11,37,13;88-0.42-0.65;4;1
36;67;91;40,26,37,4,12,32;37,33,16,43,10,7;236-0.45-0.63;4;1
37;75;141;4,38,25,16,49,47;43,45,20,26,12,13;124-0.42-0.89;5;0
38;79;155;20,37,42,27,43,16;37,19,38,13,47,27;194-0.43-0.86;5;0
39;55;157;33,11,29,33,19,1;46,18,18,41,47,13;201-0.44-0.86;5;0
40;71;82;18,42,30,43,33,1;16,13,34,2,5,22;4-0.43-0.9;5;0
41;34;113;7,15,18,11,2,30;35,8,19,19,2,45;190-0.41-0.89;5;0
42;63;146;40,36,11,17,37,7;49,34,44,4,21,18;161-0.43-0.86;5;0
43;70;111;29,24,24,44,3,40;3,5,49,27,39,5;32-0.43-0.87;5;0
44;66;168;37,46,11,28,32,9;15,28,41,45,42,25;81-0.41-0.86;5;0
45;74;118;49,39,4,45,22,23;13,36,25,23,3,38;145-0.41-0.86;5;0
46;54;153;14,35,6,26,26,15;40,26,24,43,25,13;129-0.45-0.9;5;0
47;56;153;2,29,44,1,28,27;24,16,49,27,32,22;59-0.43-0.9;5;0
48;62;126;27,3,37,23,35,28;11,15,35,41,14,29;51-0.41-0.87;5;0
49;92;148;26,46,23,36,39,44;19,34,26,13,31,44;44-0.43-0.89;5;0
50;52;161;6,21,3,25,45,17;7,35,46,38,23,32;167-0.45-0.89;5;0
51;55;148;46,1,32,5,35,5;8,33,16,43,30,39;2-0.45-0.88;5;0
52;52;188;5,40,22,22,31,3;48,19,43,28,41,30;105-0.43-0.9;5;0
53;77;128;3,4,44,40,44,38;42,1,2,35,15,49;103-0.45-0.89;5;0
54;67;155;12,23,31,48,16,27;20,36,27,39,8,43;232-0.43-0.9;5;0
55;61;56;5,32,49,35,9,19;17,45,11,29,34,22;209-0.41-0.36;6;1
56;50;49;2,2,42,31,30,6;2,23,40,40,10,12;1-0.45-0.39;6;1
57;58;53;5,10,44,22,35,24;34,23,33,17,10,28;173-0.42-0.37;6;1
58;65;81;3,33,49,26,38,3;18,44,38,20,40,43;74-0.43-0.4;6;1
59;40;61;6,25,18,18,20,11;30,28,27,38,12,19;178-0.41-0.4;6;1
60;65;75;42,37,5,5,24,46;34,36,38,34,24,32;102-0.41-0.38;6;1
61;82;52;34,26,36,22,38,35;12,7,34,42,34,13;70-0.43-0.37;6;1
62;73;60;23,38,14,43,45,12;3,40,7,29,36,37;73-0.42-0.4;6;1
63;47;72;42,7,6,45,9,5;34,26,21,33,41,42;71-0.42-0.37;6;1
64;60;33;29,1,38,43,6,23;8,6,3,45,7,16;0-0.43-0.39;6;1
65;46;62;10,34,12,4,26,29;9,40,15,42,37,31;242-0.4-0.36;6;1
66;74;35;1,34,15,43,29,43;47,7,6,4,25,4;227-0.45-0.38;6;1
67;67;81;36,30,20,19,38,15;48,38,44,37,40,18;207-0.43-0.36;6;1
68;70;53;44,27,1,23,42,36;40,44,34,13,15,2;58-0.41-0.36;6;1
69;84;38;45,23,36,14,33,40;9,34,2,45,16,2;135-0.44-0.36;6;1
70;74;64;4,20,44,47,47,12;28,21,40,46,38,6;140-0.43-0.36;6;1
71;71;65;26,24,22,18,46,39;26,46,7,46,13,35;117-0.41-0.38;6;1
72;68;74;42,49,13,22,38,4;26,49,47,43,22,4;111-0.41-0.39;6;1
